epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2858,1.89633,4.34607,2.43025,0.00197,0.7,0.06584,0.03586,1.31372,4.68773,2.3792,0.0002142,0.0002142,0.0002142
2,101.854,1.42195,3.83119,1.88229,0.00303,0.7,0.1604,0.08962,1.05152,4.54821,1.92177,0.000434293,0.000434293,0.000434293
3,154.446,1.32932,3.70449,1.79726,0.10378,0.8,0.32468,0.22902,1.05729,4.51771,1.93008,0.000635536,0.000635536,0.000635536
4,208.648,1.18371,3.34342,1.6409,0.10371,0.8,0.48073,0.29063,0.76991,4.34246,1.69362,0.000629177,0.000629177,0.000629177
5,261.757,1.05208,3.09306,1.5235,0.13662,0.9,0.54925,0.33239,0.96435,3.66676,1.91188,0.000600902,0.000600902,0.000600902
6,313.928,1.0377,2.85543,1.50335,0.25376,1,0.77112,0.48982,1.1369,3.19422,2.07099,0.000572628,0.000572628,0.000572628
7,364.427,1.008,2.52437,1.44339,0.69181,0.6,0.796,0.52604,1.00586,2.77617,1.79432,0.000544354,0.000544354,0.000544354
8,413.821,0.94011,2.37386,1.38995,0.78089,0.6,0.94525,0.69897,0.84955,2.3746,1.60409,0.000516079,0.000516079,0.000516079
9,467.859,0.9233,2.11214,1.36064,0.82026,0.9,0.92867,0.73788,0.76875,2.06017,1.45337,0.000487805,0.000487805,0.000487805
10,515.856,0.9085,2.09715,1.3379,0.75539,0.9,0.995,0.791,0.78646,2.23634,1.4673,0.00045953,0.00045953,0.00045953
11,563.645,0.85599,1.99682,1.33135,0.83946,0.8,0.995,0.8009,0.79053,2.3344,1.42631,0.000431256,0.000431256,0.000431256
12,614.196,0.80238,1.92634,1.25275,0.85956,0.8,0.995,0.82327,0.71933,1.85478,1.32872,0.000402982,0.000402982,0.000402982
13,667.972,0.78625,1.72309,1.28182,0.76849,0.9,0.995,0.82333,0.62505,1.75911,1.21026,0.000374707,0.000374707,0.000374707
14,719.352,0.78448,1.61179,1.25044,0.82105,0.8,0.995,0.85065,0.53316,1.79271,1.147,0.000346433,0.000346433,0.000346433
15,779.932,0.77524,1.5467,1.22545,0.75087,0.9,0.995,0.87055,0.46775,1.65759,1.10668,0.000318158,0.000318158,0.000318158
16,829.639,0.74955,1.86508,1.34766,0.74176,1,0.995,0.87803,0.49729,1.47261,1.1201,0.000289884,0.000289884,0.000289884
17,879.356,0.72099,1.67302,1.23978,0.80927,1,0.995,0.83327,0.60751,1.36434,1.20921,0.00026161,0.00026161,0.00026161
18,930.201,0.58851,1.49913,1.19847,0.85608,1,0.995,0.87129,0.48476,1.61126,1.09168,0.000233335,0.000233335,0.000233335
19,982.245,0.64924,1.50862,1.30724,0.85562,1,0.995,0.90789,0.37878,1.55011,1.01748,0.000205061,0.000205061,0.000205061
20,1033.15,0.53319,1.46352,1.15579,0.86498,1,0.995,0.9302,0.37087,1.57226,1.00488,0.000176786,0.000176786,0.000176786
21,1085.93,0.54893,1.49963,1.15585,0.81193,1,0.94525,0.88671,0.38192,1.55501,1.00925,0.000148512,0.000148512,0.000148512
22,1134.91,0.51098,1.48058,1.156,0.87824,1,0.94525,0.85934,0.3907,1.53261,1.00947,0.000120238,0.000120238,0.000120238
23,1182.62,0.481,1.33874,1.12804,0.89298,1,0.995,0.91035,0.39336,1.46168,1.008,9.19632e-05,9.19632e-05,9.19632e-05
24,1231.47,0.44953,1.34922,1.09042,0.91572,1,0.995,0.91535,0.38591,1.33526,0.99965,6.36888e-05,6.36888e-05,6.36888e-05
25,1287.38,0.45933,1.3732,1.11309,0.92906,1,0.995,0.93525,0.36956,1.20615,0.97952,3.54144e-05,3.54144e-05,3.54144e-05
